Customer_ID,Feedback_Score,Policy_Type,Late_Payments,Lifetime_Months,Claims_Filed,Premium_Amount,Age,Gender,Income_Level,Is_Churn
CUST_305,4,Auto,4,5,2,1372,21,Other,High,1
CUST_306,8,Health,9,10,3,904,72,Female,Medium,0
CUST_307,8,Auto,4,57,5,4439,40,Other,Medium,1
CUST_308,10,Health,0,54,2,4219,48,Female,Low,0
CUST_309,2,Health,0,51,3,2742,32,Male,Low,0
CUST_310,8,Auto,9,54,2,1373,83,Male,Medium,1
CUST_311,1,Health,2,31,4,2810,45,Male,High,0
CUST_312,4,Auto,6,53,0,4845,39,Male,Medium,0
CUST_313,8,Health,2,52,2,4756,52,Other,High,0
CUST_314,10,Auto,8,1,5,1437,64,Other,Medium,0
CUST_315,4,Life,8,47,2,3347,32,Other,High,1
CUST_316,1,Life,6,19,1,1435,71,Male,Low,0
CUST_317,7,Auto,5,10,2,2916,81,Other,Low,0
CUST_318,2,Auto,8,9,1,2720,29,Male,Medium,1
CUST_319,9,Life,0,45,5,4003,81,Male,Low,0
CUST_320,10,Health,7,24,4,3828,75,Other,Medium,0
CUST_321,3,Auto,10,60,4,1259,69,Female,Medium,1
CUST_322,1,Auto,2,37,4,3294,33,Male,Low,0
CUST_323,1,Auto,0,47,5,2568,73,Other,Medium,1
CUST_324,5,Auto,0,15,3,1405,19,Male,Medium,0
CUST_325,6,Auto,8,16,2,4220,80,Male,Medium,0
CUST_326,9,Health,10,42,3,1263,28,Other,High,0
CUST_327,3,Life,10,46,2,791,30,Female,Low,0
CUST_328,1,Life,0,59,0,530,78,Male,High,1
CUST_329,8,Auto,5,9,4,3831,36,Male,High,0
CUST_330,3,Health,7,14,4,3477,37,Male,High,0
CUST_331,2,Auto,0,49,1,3899,48,Male,High,1
CUST_332,7,Auto,1,36,0,1659,47,Other,Medium,0
CUST_333,3,Health,9,6,2,3740,59,Other,Medium,0
CUST_334,5,Life,7,52,1,3702,33,Female,Low,0
CUST_335,8,Auto,4,20,0,4007,49,Other,Low,0
CUST_336,5,Auto,3,15,3,4893,44,Male,Low,1
CUST_337,3,Auto,10,14,4,3465,64,Other,Medium,1
CUST_338,5,Life,10,8,2,2879,44,Female,Medium,1
CUST_339,7,Life,5,27,1,3069,28,Female,Low,0
CUST_340,9,Auto,7,58,0,3224,65,Male,Medium,0
CUST_341,5,Auto,5,5,1,2424,49,Female,Low,1
CUST_342,8,Auto,10,28,4,3768,63,Male,High,1
CUST_343,4,Life,2,26,0,2300,73,Male,Low,0
CUST_344,3,Health,10,48,1,4576,39,Male,High,0
CUST_345,6,Auto,9,56,3,4565,76,Male,Medium,1
CUST_346,6,Auto,2,40,5,3986,35,Female,High,1
CUST_347,1,Auto,5,57,4,4051,57,Other,Medium,1
CUST_348,7,Life,5,43,4,3453,63,Other,Medium,0
CUST_349,6,Life,5,31,3,3385,20,Female,Medium,0
CUST_350,3,Life,10,20,2,873,52,Male,Medium,1
CUST_351,10,Auto,6,44,2,1881,21,Other,Low,1
CUST_352,10,Life,8,20,4,2372,50,Male,Low,1
CUST_353,1,Health,0,59,1,2757,31,Female,Medium,1
CUST_354,6,Auto,8,57,4,2806,52,Female,High,0
CUST_355,4,Auto,4,27,1,1587,75,Female,Medium,0
CUST_356,7,Health,6,38,3,2408,81,Other,Low,0
CUST_357,8,Health,9,32,3,1337,29,Female,Low,0
CUST_358,10,Life,0,3,3,4005,72,Other,High,1
CUST_359,2,Health,0,32,1,1982,39,Male,Low,1
CUST_360,3,Auto,1,8,5,2011,40,Female,High,1
CUST_361,1,Life,5,8,3,3622,27,Female,Low,1
CUST_362,8,Auto,10,39,5,4014,34,Other,Low,0
CUST_363,3,Health,8,34,0,2706,55,Female,Medium,0
CUST_364,1,Auto,1,52,2,4680,54,Other,Low,1
CUST_365,10,Health,2,46,2,3037,67,Other,Medium,0
CUST_366,6,Health,3,38,1,1382,38,Female,Low,0
CUST_367,8,Auto,6,22,1,4813,30,Other,Medium,0
CUST_368,9,Health,2,58,2,3711,69,Male,Medium,0
CUST_369,10,Auto,4,5,0,1292,42,Other,Low,1
CUST_370,1,Auto,2,51,1,3056,66,Other,High,1
CUST_371,4,Life,4,8,2,3653,34,Female,High,1
CUST_372,6,Life,9,8,0,1812,80,Other,Low,1
CUST_373,6,Health,10,24,5,4994,18,Other,Low,0
CUST_374,1,Health,10,32,1,4733,45,Female,Medium,1
CUST_375,9,Auto,4,35,4,2414,84,Other,High,1
CUST_376,2,Life,7,58,5,3808,73,Male,High,1
CUST_377,10,Life,10,30,1,2285,54,Male,Medium,0
CUST_378,10,Life,0,9,2,3245,74,Other,Medium,0
CUST_379,7,Life,0,16,0,4903,47,Other,High,0
CUST_380,9,Auto,2,38,1,989,36,Female,Low,1
CUST_381,5,Health,5,4,2,3564,38,Female,Low,0
CUST_382,5,Life,1,59,3,2192,45,Female,Medium,0
CUST_383,6,Auto,9,13,1,2144,35,Other,Medium,1
CUST_384,7,Life,0,32,1,1210,35,Female,Low,0
CUST_385,6,Life,6,8,1,3455,50,Male,Medium,0
CUST_386,8,Health,10,21,3,1172,38,Other,High,1
CUST_387,9,Auto,7,42,1,2135,73,Male,Low,0
CUST_388,2,Auto,2,24,0,1132,43,Other,Low,1
CUST_389,8,Auto,4,60,3,2113,75,Female,High,1
CUST_390,5,Health,4,60,2,3330,45,Female,Low,0
CUST_391,5,Auto,6,34,0,4030,68,Female,Medium,0
CUST_392,3,Auto,0,26,4,1431,83,Male,Medium,0
CUST_393,1,Health,9,1,3,1395,28,Female,High,1
CUST_394,6,Life,5,12,2,4139,38,Female,High,1
CUST_395,5,Auto,7,26,1,539,61,Other,Medium,1
CUST_396,1,Health,7,20,3,1842,50,Female,Low,0
CUST_397,6,Auto,2,9,0,4474,31,Male,High,1
CUST_398,2,Health,4,14,5,4651,55,Other,High,0
CUST_399,6,Auto,8,26,0,2871,61,Male,Medium,1
CUST_400,6,Auto,7,56,3,4389,35,Male,High,0
CUST_401,7,Health,7,12,1,2037,84,Other,Medium,0
CUST_402,8,Life,4,47,1,2933,80,Other,Low,0
CUST_403,5,Health,7,54,1,3012,53,Other,Medium,0
CUST_404,1,Health,6,20,4,4237,79,Other,Low,0
CUST_405,10,Auto,3,22,4,2068,62,Other,Medium,1
CUST_406,3,Health,0,52,4,4150,18,Female,Low,0
CUST_407,1,Auto,10,33,5,1899,53,Male,Low,1
CUST_408,2,Auto,8,35,5,1939,51,Female,Medium,1
CUST_409,7,Health,3,47,4,2356,77,Female,Medium,0
CUST_410,8,Life,5,19,3,1403,54,Female,Low,0
CUST_411,6,Auto,7,46,3,4453,29,Male,High,1
CUST_412,10,Life,2,25,1,3615,74,Male,Low,0
CUST_413,10,Health,10,48,1,1123,72,Female,High,0
CUST_414,4,Auto,8,38,2,3836,57,Male,Medium,1
CUST_415,1,Auto,9,55,1,1814,45,Other,High,1
CUST_416,1,Auto,0,14,0,1893,52,Male,Medium,1
CUST_417,2,Life,9,29,0,3336,52,Other,Medium,0
CUST_418,4,Auto,1,5,4,4778,27,Male,Low,1
CUST_419,5,Auto,10,52,2,4975,18,Male,Medium,1
CUST_420,2,Life,0,18,4,3294,62,Female,High,1
CUST_421,5,Health,0,30,1,4781,76,Female,High,0
CUST_422,1,Health,6,42,5,2739,56,Other,Low,1
CUST_423,6,Auto,3,36,3,2114,22,Male,High,1
CUST_424,9,Auto,4,32,2,1484,67,Female,Medium,0
CUST_425,1,Life,10,23,2,2265,59,Other,High,1
CUST_426,7,Auto,7,56,5,3073,41,Male,Low,1
CUST_427,8,Health,4,2,4,4559,62,Female,High,1
CUST_428,1,Auto,10,34,1,2993,45,Other,Medium,1
CUST_429,10,Health,10,43,3,623,40,Female,Low,0
CUST_430,2,Health,1,2,1,4823,49,Female,High,1
CUST_431,5,Auto,8,23,1,4165,34,Male,High,1
CUST_432,5,Life,0,42,0,3018,52,Female,High,0
CUST_433,7,Auto,4,45,4,4161,56,Other,High,0
CUST_434,6,Health,2,30,4,2743,52,Female,Low,0
CUST_435,5,Life,0,41,2,726,47,Other,Medium,0
CUST_436,9,Life,10,5,2,4199,53,Other,High,0
CUST_437,5,Life,2,5,0,2099,65,Male,High,0
CUST_438,1,Health,2,57,5,4404,33,Male,High,0
CUST_439,1,Health,3,53,0,1740,65,Other,Low,0
CUST_440,1,Health,0,55,4,3939,58,Other,Low,0
CUST_441,1,Auto,5,32,4,1354,18,Female,Low,1
CUST_442,5,Auto,9,34,2,4490,75,Male,Medium,1
CUST_443,1,Life,7,17,4,3344,79,Female,Medium,1
CUST_444,1,Auto,5,41,4,3836,58,Female,Low,0
CUST_445,5,Auto,7,20,5,3297,51,Other,Low,1
CUST_446,7,Health,3,18,5,4098,81,Female,Low,0
CUST_447,5,Auto,3,4,4,4473,35,Female,Low,0
CUST_448,6,Life,6,4,4,955,33,Female,Medium,0
CUST_449,5,Life,8,10,5,3652,59,Female,High,0
CUST_450,10,Health,10,47,5,1521,75,Male,High,0
CUST_451,8,Health,2,32,0,4651,21,Male,Medium,0
CUST_452,7,Health,8,53,4,2489,72,Female,Medium,1
CUST_453,9,Auto,7,17,0,2868,72,Female,High,1
CUST_454,4,Auto,6,50,0,2650,40,Other,Low,0
CUST_455,5,Life,5,33,4,1723,62,Other,Low,0
CUST_456,9,Auto,7,39,4,3193,18,Other,High,0
