Location,Soil_Type,Fertility_Index,Land_Use_Type,Average_Rainfall(mm),Temperature(°C),Crop_Suitability,Season,Satellite_Observation_Date,Remarks
Rangpur,Peaty,79,Unused,393,31.3,Spices,Autumn,2024-09-13,High potential
Khulna,Clay,73,Agricultural,156,25.4,Wheat,Winter,2024-09-07,Requires attention
Khulna,Loamy,99,Unused,260,30.3,Maize,Summer,2024-08-10,Low potential
Rajshahi,Peaty,46,Agricultural,233,21.3,Vegetables,Monsoon,2024-05-15,Requires attention
Chattogram,Peaty,65,Agricultural,387,26.9,Tea,Monsoon,2024-05-10,Low potential
Dhaka,Peaty,45,Residential,273,27.3,Tea,Autumn,2024-06-06,Moderate potential
Rangpur,Peaty,50,Residential,280,28.8,Vegetables,Autumn,2024-11-30,Requires attention
Sylhet,Peaty,90,Unused,373,21.6,Spices,Monsoon,2024-03-25,Low potential
Mymensingh,Sandy,73,Unused,182,26.8,Maize,Monsoon,2024-12-19,Requires attention
Khulna,Sandy,81,Unused,217,34.3,Vegetables,Winter,2024-09-03,Requires attention
Rajshahi,Silt,91,Residential,312,25.4,Spices,Summer,2024-10-31,Requires attention
Chattogram,Loamy,58,Agricultural,334,24.0,Maize,Summer,2024-10-26,Requires attention
Sylhet,Peaty,74,Residential,341,28.2,Spices,Summer,2024-12-13,Moderate potential
Khulna,Peaty,51,Barren,373,24.1,Jute,Summer,2024-12-07,Moderate potential
Dhaka,Silt,83,Barren,94,20.7,Spices,Autumn,2024-11-18,High potential
Dhaka,Clay,87,Unused,300,33.2,Rice,Summer,2024-05-07,High potential
Dhaka,Sandy,94,Residential,386,21.3,Tea,Autumn,2024-09-17,Moderate potential
Rajshahi,Sandy,64,Agricultural,173,34.1,Wheat,Summer,2024-05-15,Moderate potential
Dhaka,Peaty,95,Residential,347,24.1,Tea,Monsoon,2024-03-17,Moderate potential
Khulna,Silt,43,Unused,308,33.6,Spices,Autumn,2024-01-16,Low potential
Mymensingh,Clay,97,Residential,295,33.3,Jute,Summer,2024-01-01,High potential
Rangpur,Peaty,73,Unused,200,31.4,Jute,Winter,2024-07-09,Low potential
Dhaka,Sandy,66,Residential,219,20.7,Vegetables,Summer,2024-10-31,Moderate potential
Sylhet,Clay,40,Unused,197,22.7,Spices,Autumn,2024-03-17,Moderate potential
Khulna,Sandy,74,Unused,302,28.0,Vegetables,Autumn,2024-04-10,Moderate potential
Rangpur,Peaty,97,Agricultural,324,27.4,Spices,Autumn,2024-12-08,High potential
Mymensingh,Peaty,74,Unused,173,28.1,Spices,Summer,2024-07-25,High potential
Rangpur,Sandy,96,Unused,384,24.1,Rice,Monsoon,2024-12-17,High potential
Khulna,Sandy,64,Agricultural,173,21.1,Tea,Monsoon,2024-08-17,Moderate potential
Sylhet,Sandy,94,Residential,94,23.4,Jute,Autumn,2024-05-25,Requires attention
Rangpur,Clay,76,Barren,105,27.2,Vegetables,Autumn,2024-02-22,Moderate potential
Barishal,Loamy,72,Barren,376,23.6,Wheat,Winter,2024-08-24,Low potential
Sylhet,Loamy,73,Agricultural,78,27.7,Rice,Summer,2024-05-11,Low potential
Khulna,Loamy,100,Barren,216,22.7,Spices,Autumn,2024-03-19,Requires attention
Dhaka,Loamy,71,Barren,362,27.1,Vegetables,Autumn,2024-10-19,Requires attention
Barishal,Sandy,84,Residential,61,34.1,Rice,Autumn,2024-07-15,Requires attention
Rajshahi,Silt,93,Agricultural,304,25.3,Jute,Winter,2024-04-17,Moderate potential
Chattogram,Peaty,50,Unused,300,31.8,Vegetables,Winter,2024-08-10,Requires attention
Dhaka,Peaty,98,Unused,84,27.3,Spices,Monsoon,2024-05-17,Requires attention
Rangpur,Clay,64,Unused,83,22.8,Spices,Summer,2024-02-06,High potential
Mymensingh,Peaty,52,Residential,70,24.4,Tea,Summer,2024-05-15,High potential
Chattogram,Peaty,87,Agricultural,80,27.2,Wheat,Summer,2024-12-16,High potential
Sylhet,Silt,100,Barren,195,22.6,Wheat,Summer,2024-03-05,High potential
Khulna,Clay,54,Agricultural,387,26.3,Jute,Autumn,2024-06-13,Low potential
Rangpur,Loamy,84,Barren,160,23.0,Spices,Summer,2024-11-19,Low potential
Chattogram,Clay,87,Unused,155,24.0,Spices,Monsoon,2024-11-27,High potential
Barishal,Clay,78,Agricultural,242,26.0,Spices,Monsoon,2024-01-02,Moderate potential
Mymensingh,Silt,82,Residential,89,27.7,Maize,Autumn,2024-05-05,Requires attention
Chattogram,Clay,52,Agricultural,233,21.1,Wheat,Monsoon,2024-07-13,Moderate potential
Chattogram,Peaty,80,Unused,228,20.3,Rice,Winter,2024-06-15,High potential
Sylhet,Clay,100,Residential,247,28.3,Maize,Monsoon,2024-06-01,Moderate potential
Rangpur,Silt,66,Unused,224,21.1,Tea,Summer,2024-02-05,Low potential
Rangpur,Peaty,88,Agricultural,201,24.7,Maize,Winter,2024-10-31,Moderate potential
Chattogram,Loamy,50,Agricultural,129,20.9,Tea,Winter,2024-11-15,Low potential
Khulna,Loamy,48,Unused,114,26.0,Spices,Autumn,2024-12-15,Requires attention
Barishal,Sandy,85,Barren,365,20.2,Maize,Monsoon,2024-10-13,Low potential
Dhaka,Peaty,77,Residential,289,31.6,Maize,Winter,2024-06-20,Requires attention
Khulna,Sandy,65,Agricultural,93,22.4,Jute,Monsoon,2024-04-06,Low potential
Rangpur,Silt,48,Agricultural,140,33.3,Rice,Autumn,2024-05-16,Low potential
Chattogram,Peaty,88,Agricultural,139,28.7,Tea,Monsoon,2024-12-24,Moderate potential
Rangpur,Silt,78,Residential,229,23.0,Jute,Monsoon,2024-03-11,Requires attention
Khulna,Clay,44,Barren,157,31.2,Rice,Monsoon,2024-07-04,Moderate potential
Chattogram,Sandy,43,Agricultural,100,25.4,Spices,Winter,2024-11-15,Requires attention
Rangpur,Loamy,99,Unused,186,34.8,Jute,Summer,2024-01-30,Low potential
Barishal,Loamy,74,Barren,299,20.1,Maize,Summer,2024-09-23,Moderate potential
Khulna,Loamy,59,Agricultural,315,30.4,Tea,Monsoon,2024-04-24,High potential
Barishal,Clay,75,Residential,192,23.8,Rice,Autumn,2024-08-13,Low potential
Chattogram,Loamy,44,Unused,298,32.2,Tea,Autumn,2024-07-20,Requires attention
Rajshahi,Peaty,84,Barren,392,22.0,Spices,Summer,2024-08-24,High potential
Chattogram,Peaty,88,Agricultural,280,20.4,Spices,Winter,2024-11-12,High potential
Khulna,Sandy,74,Residential,285,30.9,Tea,Winter,2024-11-13,Moderate potential
Dhaka,Peaty,41,Unused,199,20.3,Tea,Autumn,2024-02-01,Requires attention
Chattogram,Sandy,51,Unused,166,26.1,Tea,Summer,2024-08-25,High potential
Sylhet,Sandy,86,Residential,217,20.4,Tea,Autumn,2024-01-08,High potential
Khulna,Sandy,54,Barren,118,32.2,Spices,Summer,2024-11-19,Low potential
Rangpur,Peaty,98,Agricultural,206,34.7,Jute,Autumn,2024-04-20,Low potential
Dhaka,Peaty,66,Agricultural,371,29.3,Maize,Autumn,2024-05-02,High potential
Khulna,Clay,49,Barren,368,33.6,Tea,Summer,2024-02-26,Moderate potential
Rangpur,Sandy,57,Unused,383,28.1,Maize,Winter,2024-06-17,High potential
Rangpur,Sandy,79,Residential,276,34.8,Spices,Winter,2024-09-16,High potential
Barishal,Loamy,51,Barren,355,22.1,Spices,Summer,2024-12-02,Requires attention
Rajshahi,Clay,73,Residential,233,29.6,Tea,Monsoon,2024-05-23,Moderate potential
Khulna,Silt,76,Agricultural,373,31.0,Vegetables,Autumn,2024-04-28,Moderate potential
Rangpur,Sandy,87,Residential,279,28.4,Tea,Autumn,2024-06-04,Moderate potential
Barishal,Peaty,98,Agricultural,158,21.6,Wheat,Monsoon,2024-06-18,Low potential
Rangpur,Peaty,69,Residential,312,21.6,Tea,Winter,2024-09-06,Low potential
Sylhet,Loamy,97,Barren,311,23.7,Tea,Winter,2024-08-18,Moderate potential
Mymensingh,Clay,54,Barren,344,24.3,Spices,Summer,2024-07-28,Moderate potential
Chattogram,Silt,50,Agricultural,376,27.4,Rice,Monsoon,2024-09-09,High potential
Barishal,Silt,84,Barren,62,32.5,Vegetables,Summer,2024-10-26,Moderate potential
Barishal,Clay,61,Residential,268,26.2,Rice,Winter,2024-06-21,High potential
Sylhet,Loamy,81,Residential,290,21.0,Spices,Summer,2024-01-24,Moderate potential
Chattogram,Peaty,45,Unused,153,28.1,Vegetables,Summer,2024-11-13,Requires attention
Khulna,Loamy,75,Barren,382,20.3,Rice,Winter,2024-06-14,Requires attention
Sylhet,Clay,58,Agricultural,208,21.8,Jute,Monsoon,2024-02-03,Low potential
Rajshahi,Loamy,52,Barren,239,31.9,Spices,Autumn,2024-06-07,Moderate potential
Khulna,Silt,70,Residential,120,29.1,Tea,Monsoon,2024-12-21,High potential
Dhaka,Sandy,82,Agricultural,396,29.0,Jute,Autumn,2024-05-22,Moderate potential
Dhaka,Peaty,41,Barren,203,31.8,Vegetables,Autumn,2024-05-09,Low potential
Khulna,Silt,100,Residential,212,30.0,Spices,Winter,2024-02-05,Requires attention
Barishal,Peaty,90,Agricultural,210,34.8,Maize,Summer,2024-09-03,High potential
Chattogram,Peaty,50,Residential,204,26.6,Jute,Winter,2024-12-10,Requires attention
Barishal,Peaty,89,Residential,372,32.8,Rice,Winter,2024-11-30,Requires attention
Khulna,Silt,40,Barren,304,25.7,Vegetables,Summer,2024-06-02,Moderate potential
Rajshahi,Loamy,95,Agricultural,56,24.6,Maize,Autumn,2024-09-17,High potential
Mymensingh,Clay,43,Agricultural,163,29.8,Wheat,Winter,2024-12-24,Moderate potential
Khulna,Loamy,67,Unused,263,26.8,Rice,Summer,2024-05-01,Moderate potential
Dhaka,Silt,84,Agricultural,71,33.1,Rice,Monsoon,2024-09-18,Low potential
Dhaka,Clay,97,Barren,274,23.4,Spices,Summer,2024-10-13,Moderate potential
Khulna,Loamy,98,Barren,324,33.7,Spices,Monsoon,2024-02-02,Requires attention
Khulna,Sandy,44,Unused,166,25.5,Jute,Winter,2024-08-20,High potential
Chattogram,Sandy,87,Agricultural,291,25.9,Tea,Summer,2024-10-15,Requires attention
Rajshahi,Clay,96,Agricultural,206,31.1,Vegetables,Autumn,2024-02-03,High potential
Mymensingh,Loamy,86,Agricultural,185,22.3,Rice,Winter,2024-03-28,Low potential
Khulna,Silt,69,Unused,171,29.7,Tea,Summer,2024-02-03,Low potential
Dhaka,Loamy,54,Agricultural,201,21.7,Vegetables,Winter,2024-06-14,Requires attention
Sylhet,Clay,90,Residential,268,29.9,Rice,Monsoon,2024-08-11,Low potential
Mymensingh,Clay,53,Agricultural,293,22.6,Jute,Monsoon,2024-03-26,Moderate potential
Rajshahi,Sandy,98,Unused,266,32.0,Tea,Summer,2024-03-03,Requires attention
Khulna,Clay,46,Agricultural,355,34.1,Wheat,Summer,2024-12-09,Low potential
Dhaka,Loamy,50,Residential,146,33.1,Maize,Summer,2024-09-19,High potential
Khulna,Peaty,63,Barren,260,33.3,Wheat,Summer,2024-09-20,Moderate potential
Sylhet,Silt,60,Residential,210,21.9,Tea,Autumn,2024-04-04,Requires attention
Rangpur,Loamy,96,Residential,391,24.9,Tea,Autumn,2024-08-24,Requires attention
Rajshahi,Sandy,83,Agricultural,308,29.9,Wheat,Winter,2024-12-08,High potential
Rangpur,Loamy,41,Residential,205,31.6,Spices,Autumn,2024-07-21,Low potential
Dhaka,Silt,83,Unused,224,34.9,Maize,Summer,2024-09-01,High potential
Sylhet,Peaty,83,Unused,150,30.0,Maize,Summer,2024-08-01,Requires attention
Khulna,Sandy,81,Unused,94,22.0,Rice,Monsoon,2024-11-25,High potential
Mymensingh,Loamy,44,Agricultural,272,28.6,Wheat,Monsoon,2024-04-17,Moderate potential
Barishal,Clay,84,Agricultural,58,33.7,Vegetables,Winter,2024-05-16,Moderate potential
Khulna,Sandy,85,Residential,52,22.8,Jute,Winter,2024-08-17,High potential
Sylhet,Silt,42,Unused,375,32.4,Tea,Winter,2024-09-18,High potential
Barishal,Clay,66,Unused,267,29.5,Jute,Monsoon,2024-01-05,Low potential
Barishal,Silt,72,Agricultural,282,26.9,Spices,Summer,2024-03-12,Requires attention
Khulna,Sandy,86,Residential,289,31.6,Vegetables,Winter,2024-11-29,Requires attention
Chattogram,Clay,78,Barren,184,23.7,Rice,Winter,2024-04-16,High potential
Khulna,Loamy,48,Barren,190,26.8,Vegetables,Autumn,2024-01-18,Requires attention
Rajshahi,Silt,97,Agricultural,92,25.8,Jute,Summer,2024-11-07,High potential
Mymensingh,Loamy,69,Residential,318,20.2,Tea,Summer,2024-01-06,Requires attention
Khulna,Silt,81,Barren,346,28.8,Tea,Autumn,2024-01-10,Low potential
Barishal,Sandy,76,Barren,82,33.5,Wheat,Autumn,2024-04-11,Requires attention
Khulna,Clay,54,Barren,332,33.0,Vegetables,Monsoon,2024-11-19,Moderate potential
Rangpur,Loamy,78,Unused,173,21.5,Wheat,Monsoon,2024-01-31,Moderate potential
Rajshahi,Clay,81,Barren,345,34.8,Rice,Autumn,2024-12-28,High potential
Sylhet,Silt,93,Unused,145,29.0,Jute,Summer,2024-06-25,High potential
Mymensingh,Peaty,40,Unused,377,34.3,Maize,Monsoon,2024-09-14,Requires attention
Mymensingh,Loamy,88,Barren,142,29.9,Spices,Winter,2024-01-26,Moderate potential
Rajshahi,Loamy,82,Barren,310,20.6,Rice,Autumn,2024-06-16,Low potential
Barishal,Peaty,61,Residential,346,26.6,Rice,Autumn,2024-08-21,Moderate potential
Barishal,Clay,47,Residential,60,26.1,Tea,Winter,2024-10-25,High potential
Barishal,Loamy,78,Barren,366,21.8,Jute,Monsoon,2024-08-21,Requires attention
Dhaka,Loamy,83,Barren,99,31.9,Wheat,Monsoon,2024-07-10,Moderate potential
Mymensingh,Peaty,59,Residential,292,22.8,Tea,Monsoon,2024-07-14,High potential
Rangpur,Silt,98,Unused,354,33.2,Maize,Monsoon,2024-08-27,Low potential
Khulna,Sandy,84,Barren,67,26.8,Wheat,Monsoon,2024-08-17,Moderate potential
Rajshahi,Loamy,95,Unused,317,33.5,Wheat,Monsoon,2024-06-12,High potential
Chattogram,Clay,95,Agricultural,376,23.8,Vegetables,Autumn,2024-05-29,Moderate potential
Mymensingh,Peaty,52,Unused,233,34.5,Vegetables,Summer,2024-05-11,Requires attention
Dhaka,Clay,69,Residential,190,34.9,Rice,Summer,2024-04-18,Requires attention
Barishal,Sandy,51,Residential,373,22.1,Vegetables,Winter,2024-10-25,Requires attention
Khulna,Clay,85,Unused,171,31.7,Tea,Monsoon,2024-05-06,Requires attention
Rajshahi,Silt,75,Unused,306,34.0,Tea,Summer,2024-11-04,Requires attention
Barishal,Loamy,71,Agricultural,263,28.0,Tea,Summer,2024-06-10,High potential
Rajshahi,Sandy,62,Residential,310,23.9,Tea,Autumn,2024-04-30,Moderate potential
Mymensingh,Sandy,73,Agricultural,237,29.0,Spices,Summer,2024-06-23,Requires attention
Mymensingh,Peaty,54,Residential,80,27.8,Tea,Monsoon,2024-04-12,Requires attention
Rajshahi,Sandy,96,Unused,180,29.1,Rice,Summer,2024-10-07,Requires attention
Sylhet,Silt,95,Barren,395,28.3,Jute,Monsoon,2024-11-02,High potential
Barishal,Loamy,67,Agricultural,241,33.7,Rice,Monsoon,2024-01-26,High potential
Dhaka,Silt,90,Agricultural,100,33.5,Spices,Autumn,2024-12-05,Low potential
Khulna,Loamy,61,Barren,347,30.1,Vegetables,Monsoon,2024-05-31,High potential
Mymensingh,Sandy,62,Unused,261,34.2,Maize,Summer,2024-11-24,Low potential
Chattogram,Silt,93,Agricultural,173,28.0,Tea,Winter,2024-04-07,Requires attention
Sylhet,Sandy,51,Residential,271,23.4,Maize,Winter,2024-08-10,High potential
Sylhet,Loamy,41,Barren,339,26.7,Jute,Monsoon,2024-05-20,Requires attention
Rajshahi,Silt,94,Agricultural,90,29.8,Vegetables,Autumn,2024-09-05,Moderate potential
Khulna,Loamy,89,Agricultural,86,29.4,Spices,Monsoon,2024-03-19,Requires attention
Mymensingh,Peaty,87,Agricultural,140,30.7,Rice,Winter,2024-02-26,Moderate potential
Rajshahi,Silt,44,Unused,62,31.5,Rice,Monsoon,2024-03-07,High potential
Rangpur,Loamy,56,Agricultural,346,29.9,Vegetables,Winter,2024-02-01,Requires attention
Mymensingh,Silt,62,Unused,399,25.7,Vegetables,Winter,2024-09-09,Requires attention
Sylhet,Silt,77,Barren,260,31.9,Wheat,Autumn,2024-08-16,Low potential
Chattogram,Silt,72,Barren,399,22.2,Maize,Autumn,2024-12-15,Moderate potential
Rajshahi,Sandy,64,Agricultural,94,20.0,Spices,Winter,2024-08-31,High potential
Rajshahi,Silt,85,Barren,65,21.1,Maize,Winter,2024-05-21,Low potential
Mymensingh,Sandy,98,Agricultural,358,32.6,Vegetables,Winter,2024-10-09,Low potential
Khulna,Peaty,75,Residential,170,28.8,Vegetables,Summer,2024-03-05,High potential
Dhaka,Silt,96,Agricultural,350,21.0,Maize,Autumn,2024-12-30,Low potential
Chattogram,Clay,89,Agricultural,50,20.1,Spices,Autumn,2024-03-02,Low potential
Rajshahi,Loamy,64,Agricultural,158,31.8,Tea,Winter,2024-11-04,High potential
Rajshahi,Peaty,90,Barren,120,27.5,Spices,Monsoon,2024-10-13,Moderate potential
Dhaka,Silt,95,Barren,251,32.6,Jute,Autumn,2024-10-22,Requires attention
Rangpur,Sandy,99,Barren,302,30.2,Wheat,Monsoon,2024-06-19,Moderate potential
Chattogram,Sandy,90,Residential,222,26.7,Spices,Winter,2024-07-21,High potential
Sylhet,Silt,93,Unused,199,33.3,Jute,Monsoon,2024-03-27,Moderate potential
Mymensingh,Silt,46,Unused,352,33.0,Tea,Monsoon,2024-05-10,Moderate potential
Khulna,Peaty,57,Barren,189,26.1,Rice,Autumn,2024-08-06,Moderate potential
Mymensingh,Silt,70,Agricultural,343,22.2,Maize,Autumn,2024-04-15,Moderate potential
Mymensingh,Peaty,83,Residential,281,30.6,Jute,Monsoon,2024-01-05,Low potential
Barishal,Sandy,100,Unused,393,24.5,Maize,Summer,2024-06-28,Requires attention
Mymensingh,Sandy,98,Unused,312,23.0,Maize,Autumn,2024-01-12,High potential
Rajshahi,Silt,54,Agricultural,324,22.0,Wheat,Winter,2024-04-28,Requires attention
Sylhet,Peaty,51,Residential,102,29.6,Jute,Monsoon,2024-12-13,Low potential
Chattogram,Silt,87,Residential,371,28.1,Wheat,Summer,2024-05-02,Low potential
Rangpur,Silt,66,Unused,184,24.6,Tea,Monsoon,2024-02-26,Requires attention
Rajshahi,Peaty,82,Barren,103,28.1,Tea,Autumn,2024-01-09,High potential
Mymensingh,Clay,65,Residential,294,27.4,Vegetables,Winter,2024-06-12,Requires attention
Barishal,Peaty,87,Barren,75,20.4,Maize,Monsoon,2024-09-17,Moderate potential
Rangpur,Clay,79,Unused,387,34.6,Jute,Monsoon,2024-11-27,High potential
Khulna,Peaty,96,Barren,225,21.1,Jute,Summer,2024-05-20,Moderate potential
Barishal,Loamy,78,Agricultural,151,23.5,Jute,Summer,2024-06-02,High potential
Barishal,Silt,91,Agricultural,126,34.6,Maize,Summer,2024-04-11,High potential
Dhaka,Sandy,65,Residential,157,34.6,Maize,Autumn,2024-03-20,Moderate potential
Khulna,Peaty,84,Residential,341,27.5,Jute,Winter,2024-07-17,Requires attention
Chattogram,Peaty,69,Barren,270,30.4,Vegetables,Summer,2024-04-22,Low potential
Rajshahi,Peaty,96,Agricultural,392,21.4,Spices,Winter,2024-07-20,Moderate potential
Barishal,Sandy,96,Barren,185,33.7,Jute,Autumn,2024-12-20,High potential
Rangpur,Peaty,53,Agricultural,211,32.4,Wheat,Winter,2024-06-30,High potential
Khulna,Sandy,69,Residential,164,31.3,Maize,Autumn,2024-04-21,Low potential
Barishal,Sandy,86,Agricultural,203,26.0,Rice,Autumn,2024-06-24,Requires attention
Rangpur,Sandy,62,Unused,202,27.3,Jute,Winter,2024-06-19,Requires attention
Chattogram,Loamy,52,Unused,137,30.1,Rice,Summer,2024-09-23,Moderate potential
Sylhet,Sandy,87,Residential,119,30.0,Spices,Monsoon,2024-09-08,Requires attention
Khulna,Silt,89,Residential,259,22.5,Maize,Summer,2024-06-07,Requires attention
Rangpur,Clay,57,Unused,378,21.9,Jute,Summer,2024-06-02,High potential
Rajshahi,Silt,70,Unused,255,34.6,Vegetables,Summer,2024-07-19,Requires attention
Khulna,Clay,74,Unused,68,30.0,Wheat,Monsoon,2024-05-04,High potential
Barishal,Clay,57,Residential,373,33.0,Rice,Summer,2024-01-21,Requires attention
Chattogram,Sandy,71,Unused,287,29.2,Maize,Autumn,2024-06-04,Low potential
Dhaka,Loamy,45,Agricultural,305,26.8,Vegetables,Summer,2024-01-15,High potential
Sylhet,Sandy,42,Agricultural,317,21.1,Wheat,Summer,2024-12-28,Requires attention
Khulna,Clay,47,Residential,64,31.0,Wheat,Summer,2024-03-05,High potential
Dhaka,Sandy,78,Residential,325,20.8,Tea,Winter,2024-07-23,Requires attention
Barishal,Sandy,60,Barren,50,23.1,Wheat,Autumn,2024-08-08,Low potential
Dhaka,Sandy,97,Agricultural,85,30.8,Rice,Winter,2024-10-18,High potential
Sylhet,Sandy,45,Unused,126,34.2,Rice,Winter,2024-03-22,Requires attention
Dhaka,Peaty,41,Residential,220,31.1,Maize,Winter,2024-12-29,Moderate potential
Rajshahi,Clay,89,Residential,117,30.5,Jute,Summer,2024-07-10,Low potential
Chattogram,Sandy,78,Unused,91,25.1,Rice,Monsoon,2024-11-07,High potential
Dhaka,Loamy,61,Agricultural,197,30.3,Spices,Monsoon,2024-10-08,Low potential
Rangpur,Loamy,57,Unused,370,23.6,Vegetables,Autumn,2024-01-10,Low potential
Barishal,Silt,42,Agricultural,184,34.7,Spices,Autumn,2024-04-16,Requires attention
Barishal,Clay,61,Agricultural,234,30.4,Spices,Winter,2024-10-27,Requires attention
Chattogram,Sandy,47,Unused,200,33.6,Spices,Winter,2024-09-14,High potential
Rangpur,Loamy,69,Unused,235,29.3,Tea,Monsoon,2024-10-12,Low potential
Barishal,Clay,55,Barren,184,26.9,Tea,Autumn,2024-06-18,Moderate potential
Sylhet,Sandy,83,Residential,245,34.0,Wheat,Summer,2024-09-15,High potential
Barishal,Sandy,58,Unused,293,31.7,Tea,Monsoon,2024-11-08,Moderate potential
Khulna,Clay,61,Unused,184,23.3,Jute,Autumn,2024-11-02,Requires attention
Khulna,Loamy,45,Barren,259,31.2,Maize,Autumn,2024-01-24,Requires attention
Khulna,Peaty,42,Residential,69,26.6,Maize,Autumn,2024-09-02,Requires attention
Dhaka,Clay,43,Barren,153,26.8,Jute,Winter,2024-01-11,Moderate potential
